YEAR_BUILT,SQUARE_FEET,NUM_BEDROOMS,NUM_BATHROOMS,LOT_ACRES,GARAGE_SPACES,FRONT_PORCH,DECK,PRICE
1994,2518.9197642916156,3,1.0,1.39,0,0,0,318687
1977,2908.895009089473,5,1.5,1.01,2,1,0,343984
2008,2073.6431775004403,6,2.0,1.65,3,1,0,415796
1983,2551.0086690492763,6,1.0,0.98,1,0,1,307351
1999,2735.3661815209657,2,1.5,1.27,3,1,1,416854
1988,3477.4128117287764,3,3.0,0.78,3,0,0,498311
2012,3015.5072582595753,4,3.0,1.07,3,1,0,563376
1982,1773.4955315684583,3,2.5,0.82,3,1,1,205824
1993,3273.510599389137,4,1.0,0.97,3,0,0,475576
1988,3498.4263012014735,4,3.0,1.11,0,1,0,471413
1967,3345.8052728110815,2,3.0,1.2,0,0,0,324870
1998,2743.514041439405,6,2.0,1.35,3,0,0,461777
1980,2800.437882818659,5,1.5,0.76,3,0,1,353965
1988,2603.762986279703,6,2.0,0.9,0,0,0,339064
1985,3044.812150868511,6,2.5,0.95,3,1,0,443471
1977,3196.576270162677,5,3.0,0.99,2,0,1,409336
2010,3939.695231413106,6,1.5,0.76,0,0,0,639854
2012,3858.4054216111,5,1.5,1.2,2,1,0,664260
1997,3353.510328589332,2,2.5,1.23,2,0,0,498976
1986,2006.5236986815335,5,2.5,0.74,1,1,0,249578
1986,3878.4775602091877,2,2.5,1.01,3,0,1,534421
1996,1910.1317220263052,3,3.0,0.4,2,1,0,282519
1992,3361.952101357544,3,3.0,1.12,0,0,0,461092
1994,2605.9406602575737,6,1.0,1.42,1,0,1,377191
1992,3434.893302724699,2,1.0,1.06,1,1,1,446133
1991,1897.1376789631609,3,1.5,1.03,2,1,1,242520
1986,3410.2694268498262,3,3.0,1.16,2,0,0,468940
1980,3393.671646344262,2,1.5,0.97,0,1,1,371100
1999,3284.069371247432,2,3.0,1.02,1,0,1,487910
2006,3247.143034040077,3,2.0,1.34,1,1,0,517171
1989,2822.2773925550773,4,3.0,0.55,1,1,1,381591
2002,1307.1519165893026,4,2.5,1.11,1,1,1,220222
2013,3854.5305986525836,2,2.0,1.39,2,0,0,649029
2016,1524.787965841436,2,2.5,1.47,2,1,1,323268
2015,3070.7350417187563,2,2.5,1.21,2,1,1,546260
2008,3684.6528629145414,6,1.0,1.13,1,0,0,604647
1996,4506.029196571872,4,3.0,1.37,0,1,1,666454
1988,2752.745245699889,3,1.0,0.83,2,0,0,345361
1991,3066.78509608956,3,3.0,0.78,2,0,0,436717
2005,3690.7785395692254,3,1.5,0.72,1,0,0,561916
2006,2002.372099500885,3,1.0,0.92,3,0,1,339155
1996,3491.8477541104626,4,3.0,1.16,3,1,0,556177
1986,2722.702561253504,2,2.0,0.82,2,0,0,335705
2000,3019.3958181177736,4,1.5,0.9,1,0,1,448909
1988,2322.895217764735,5,2.0,1.11,0,1,0,290084
1988,1726.9642080297242,2,1.5,1.21,3,1,1,209694
1972,2790.8063022178676,3,1.5,0.42,2,0,0,272420
1995,3029.080718094522,4,1.0,0.49,0,0,1,396712
1979,3575.089115103515,5,2.0,1.54,2,0,0,469363
1995,4516.63884632935,6,2.5,1.28,1,0,1,689195
2001,1332.472740546182,5,1.0,0.74,0,1,0,185970
2010,2529.2137257719196,4,1.0,1.23,3,1,0,452832
2005,3149.9319352330103,2,2.0,0.67,2,1,1,492539
2008,2064.2900483329176,5,2.0,1.27,2,1,1,383693
1999,2954.066141367217,4,2.0,0.99,3,0,1,472959
1995,3298.837203219128,6,2.0,0.56,3,1,1,518225
1977,2435.25041415128,2,2.0,1.07,3,0,1,266337
2004,3058.151064470274,2,2.5,1.22,2,0,0,489522
1999,1759.1132927170959,6,2.5,1.36,1,1,1,296766
1999,3660.6524433914174,6,1.0,1.65,0,0,1,548847
2001,1843.2540306192823,3,2.5,1.27,1,1,1,288038
2010,3589.980182318192,2,2.5,0.93,0,1,0,564947
1996,3540.5234653035377,6,2.0,1.0,3,0,1,566078
2007,2827.255206245923,2,1.5,1.34,0,0,1,426688
1983,3416.73235994337,6,1.0,0.73,2,0,1,448459
1967,3629.9927746315293,4,1.5,0.77,2,1,1,388548
2018,3507.42815705713,6,2.5,1.17,1,1,1,651164
1997,3446.63390390977,6,3.0,1.44,1,0,1,548595
1997,3761.5885612101724,3,3.0,1.47,3,0,0,596288
1988,3194.7387242057143,4,2.0,0.69,2,0,0,434560
2007,2387.0080733685636,3,2.0,0.46,2,0,1,394951
2004,2252.9554268611655,2,3.0,1.27,2,0,0,376993
1983,3887.7854614652692,4,2.5,0.77,0,0,1,492217
1999,3142.6455483402224,5,3.0,0.88,3,0,0,524596
1981,3663.456682043977,4,1.0,0.89,0,0,0,427868
2001,3656.2703470309903,3,2.0,0.32,3,1,0,568240
2000,2697.418180384343,2,1.0,0.93,1,1,1,373562
1992,3461.7188885393316,4,1.5,1.36,2,0,1,497157
2001,2763.6343280858296,2,2.5,0.89,1,0,0,410395
1993,2279.8154495243753,3,1.5,0.97,2,1,0,309022
1993,3490.0154417433846,5,1.0,1.5,0,1,0,481002
1992,1395.9712358709794,6,2.0,0.93,1,1,1,193345
2005,3164.6285577285676,6,2.5,1.13,1,1,1,534144
1992,2363.8793352166767,5,2.5,1.2,0,0,1,325081
2003,2771.0205202112106,2,1.5,0.64,2,0,1,417753
1995,3254.470647660231,4,1.0,0.97,3,0,1,482720
1977,3422.3896240741356,3,3.0,0.79,0,0,1,390208
1987,3645.7710469809945,2,3.0,0.72,2,0,1,492665
1997,3400.625430387002,4,3.0,1.23,0,1,1,503543
1993,4136.807748162627,6,2.5,0.6,1,1,0,612021
1988,2307.6132272507675,5,1.5,0.91,3,0,1,322291
1992,3270.1686171084266,2,2.5,0.49,2,1,0,450375
2011,2601.0660445502463,4,3.0,1.35,2,0,0,485409
2009,4487.02452265747,4,2.0,1.1,2,1,0,739553
1990,2497.3934140934443,2,1.5,1.13,1,0,0,304059
2001,2665.005216090813,5,2.0,1.04,1,0,1,420350
1981,3634.1548606955675,6,2.0,0.52,3,1,0,497923
1991,2738.1129525133397,4,2.0,0.77,0,1,1,352266
1991,3199.7537648811344,5,2.5,1.07,2,1,1,473513
1990,2935.8637320920466,4,2.0,1.05,2,0,1,411129
2001,3861.292467852399,4,3.0,1.29,2,0,0,623543
1993,3198.9833175386825,3,2.0,0.99,0,0,1,424697
1985,3566.661705123927,2,1.5,1.31,0,0,0,427149
1984,2741.6317862637015,4,1.5,1.24,1,0,0,332344
1984,2962.8504064767917,6,1.0,1.13,3,0,1,406377
1989,4599.379686010352,3,1.5,0.84,0,1,1,605006
1988,3335.07206678165,2,1.0,0.82,1,1,0,407560
1995,2849.6883876644647,3,2.5,1.3,3,0,1,439453
1985,2364.170171115764,3,3.0,0.81,0,1,1,271775
2003,3561.134176408352,3,2.0,0.95,3,0,0,573420
1992,2426.8761395963584,4,1.5,0.65,2,0,0,331281
1979,3247.5589544566774,6,2.5,1.1,2,0,0,431133
2000,2291.1882233128285,3,2.0,1.28,0,1,1,327878
1989,3066.133417418926,5,2.5,1.27,3,0,0,461470
2004,2669.945321942946,5,2.0,1.23,1,1,0,438941
1988,3385.2541321051876,3,2.5,1.11,2,0,1,466938
2002,1686.1165724251528,3,1.5,1.54,3,1,0,288517
1977,2384.2329810722194,6,1.0,0.96,2,1,1,267034
1997,2519.680029180635,4,1.5,1.17,0,0,1,348002
1994,1994.3740580079848,5,2.5,1.44,0,1,1,283256
1996,3276.7739080996857,3,2.0,1.02,3,1,0,496816
2004,2888.2305044282966,5,2.5,0.84,0,1,0,458334
2001,2714.7257813505553,6,1.5,0.71,1,0,1,425358
1990,2926.621467955412,4,2.0,1.51,3,1,1,431643
2003,3672.306181082106,3,2.5,1.6,2,1,0,592345
1999,2076.388131381321,5,1.5,1.11,1,0,0,315608
2007,3107.9130067990213,5,3.0,1.11,1,1,0,532836
1984,2026.8537208638818,3,3.0,1.29,3,1,1,268378
1983,5135.456555161148,6,2.0,0.78,0,1,1,692018
2003,3434.895851510434,2,2.0,1.04,3,0,1,545834
1994,2729.9338594504848,6,1.5,0.95,3,0,0,426240
1998,2306.978205098303,3,1.5,0.91,0,1,0,307196
1999,3732.1108990004896,6,1.0,1.16,2,1,0,582216
2019,2846.985175672984,4,2.0,1.42,2,0,0,548347
1982,3788.6304932300977,4,2.0,1.3,3,1,0,517794
1986,2164.957007067994,6,1.5,0.82,3,1,0,299543
1999,2878.600018792738,5,2.5,1.15,0,0,1,436540
1998,4244.950156219802,5,2.5,0.88,0,0,1,632442
2010,4056.900089129631,5,1.0,1.08,3,0,1,689735
2004,2394.807618695458,4,3.0,0.66,1,0,0,394121
1994,3453.0504343169578,2,1.5,1.19,3,1,1,498307
1996,3054.0627644408446,2,1.5,1.02,1,1,1,415909
1992,2874.192942307879,3,1.0,1.4,3,1,0,407128
1986,3466.120505380872,3,2.5,1.48,3,0,1,489618
2012,4396.970639754363,5,1.5,0.76,0,0,0,708445
2013,2996.9144256444506,5,1.0,0.73,3,0,0,540487
2012,3032.3475264353106,2,2.5,1.18,3,1,0,540052
1978,2835.848219051079,2,1.0,0.75,2,1,0,296627
1998,4854.394484329068,6,2.5,1.16,1,0,0,753059
2004,4284.292812111502,2,3.0,1.04,2,0,1,678243
1980,3384.5442629230147,3,2.5,1.32,2,1,0,429981
2006,2543.5457797677327,6,1.5,0.89,1,1,1,427381
1996,2793.888452253326,2,2.0,1.11,3,0,0,415733
1985,4153.640578440891,6,1.0,1.07,3,1,0,589096
1995,1850.032704548216,3,2.0,1.15,3,1,0,279754
2002,2084.830810107173,3,1.0,1.01,3,1,0,332874
1993,3979.127114879642,3,3.0,1.15,1,1,0,574119
2003,2748.8911177052805,6,3.0,0.59,3,0,1,491183
1991,2832.7482082158313,4,2.0,0.85,1,0,1,382662
1996,3610.23954400903,5,2.5,0.42,2,0,1,550335
2012,2997.530693556908,4,2.5,1.25,3,0,0,555879
1990,2811.3575731938463,6,2.5,1.04,2,0,1,419803
1983,3742.5845725790305,6,2.0,1.0,1,1,0,501387
1991,1977.3411332528135,4,1.0,0.89,1,1,0,239951
1992,2952.722751389405,4,2.0,1.17,2,0,0,425458
1991,2747.0363905819486,2,2.5,1.2,3,1,1,392555
1984,3203.88709056685,6,1.5,1.37,2,1,1,438633
1996,3480.7604935118793,3,1.0,1.47,0,1,0,474164
1989,2124.716146585547,6,2.0,0.99,2,0,0,303557
2004,2682.2446083041737,5,2.0,1.38,2,0,0,458036
2002,2240.5293036565877,4,2.5,0.85,1,1,1,356329
1997,2182.233452165645,4,1.5,0.96,3,0,1,339235
1998,2665.3080396529335,4,2.0,1.35,0,0,0,385046
2001,2834.624963879904,5,1.5,0.91,0,0,1,421343
1990,3546.1979069178515,5,1.0,1.01,2,0,0,497079
2000,1974.8625019521394,6,2.5,1.0,2,1,1,343729
1967,3069.316960392949,2,2.5,1.28,3,1,1,322097
1978,2529.0807989771424,5,1.5,1.59,0,1,1,270712
1986,3483.0947350004435,6,2.5,0.77,3,1,0,511514
1998,2952.166729396401,2,3.0,1.32,3,0,1,467625
1980,3835.927911500591,4,1.5,1.31,0,0,1,462539
2000,1869.6533252918389,4,2.5,1.4,2,1,0,313947
1994,2468.2987616319606,3,3.0,0.93,0,1,0,334194
1982,2057.1871852517897,5,3.0,0.63,0,1,1,228028
1993,2651.193093703978,5,2.5,1.09,3,1,1,416528
2018,2180.6686581955673,2,1.5,0.91,0,1,1,378250
1984,3212.8829931611817,4,2.0,0.61,2,0,1,416082
2000,3298.027903204717,6,1.5,1.09,3,1,0,543554
1988,1542.7174692980052,6,3.0,0.98,0,0,0,196107
1981,3777.425079554091,4,1.0,0.7,0,1,1,442113
1990,2929.7657690119963,2,3.0,1.14,0,1,1,376564
1980,3056.2680128729535,5,1.0,0.9,0,1,0,341940
1984,2609.8126292548927,5,2.0,1.03,3,0,1,356921
1994,2800.1234762171634,2,2.5,1.12,0,0,1,369318
1990,3082.716823600804,4,3.0,1.54,1,1,0,440507
1995,2684.5877649664053,4,1.5,1.16,1,0,0,377588
2004,2768.929615374561,2,2.5,1.23,3,0,0,461289
1977,2896.70537212647,2,1.0,0.87,2,1,1,302555
1982,2811.7120042248084,2,1.5,1.34,0,0,0,299356
2006,3034.9879293570493,5,2.0,0.67,3,0,1,525298
1984,2583.2596421219687,2,2.5,0.9,3,1,0,328488
1987,3762.7071408653446,6,3.0,0.69,2,0,0,549756
2002,3480.502617211579,6,2.5,0.99,3,0,1,594425
1996,3071.875392532188,6,3.0,1.02,1,0,1,481081
1970,3117.4846040407842,4,2.0,0.8,2,1,1,334622
2000,3425.8768166770205,6,1.5,1.25,0,1,0,520131
2007,4093.609002924547,2,2.0,0.89,1,0,1,632391
2007,3746.053254766777,2,1.5,1.23,2,1,1,592857
1999,2557.9699948646094,6,2.5,0.98,1,1,0,410895
1993,2314.84949491209,2,2.5,1.19,3,1,1,337577
1985,2277.517813882989,6,1.0,1.07,3,0,0,307677
1983,2264.409550625566,4,2.0,1.44,1,0,1,266261
1992,3393.6341147767066,6,1.5,0.91,2,1,1,500195
1970,3827.900650331853,2,1.5,1.56,1,0,0,410085
1995,3227.8843072642826,4,1.0,0.87,2,0,1,462232
1982,2748.506464138706,6,1.5,1.15,3,1,1,372025
1988,3845.842756178731,4,2.0,0.91,0,1,1,505526
1987,1770.4336192023986,2,2.5,0.9,0,0,1,176565
1999,2578.8948381737564,6,2.5,1.17,0,0,0,401884
1998,2481.337652545956,3,1.5,0.77,3,1,0,376250
1985,3123.937101158676,4,2.5,0.87,3,0,0,434140
2004,2100.3263690577696,6,1.5,0.99,1,1,0,352398
2007,3055.8600042361745,5,2.0,1.29,2,1,0,527729
1989,1663.5454231432545,6,1.5,1.03,0,0,1,197481
2005,3255.8186409712853,5,2.0,0.38,0,1,0,504072
1970,3436.0634710424206,3,2.5,0.7,0,1,0,348409
1990,3750.979664198728,2,1.0,1.15,1,0,1,484896
2004,2891.661097758842,6,3.0,1.22,3,0,1,527049
2003,3145.787341890676,4,2.0,1.2,3,0,1,524868
1992,2769.852784992661,4,2.0,1.05,3,1,1,411227
1994,3110.3711149216565,5,2.0,0.87,2,0,1,464605
1998,1533.1725990543828,6,2.5,0.98,0,0,0,237175
2013,4237.442983269441,3,3.0,0.74,3,0,0,736716
1994,4514.514803750125,4,2.0,1.1,0,0,0,638677
1992,3305.707520766811,3,1.5,1.03,1,1,0,443806
1997,2658.851939986832,5,1.5,0.84,3,1,0,418927
1999,3431.511922144814,4,2.0,0.92,2,0,1,528526
1983,2261.478663124627,3,1.0,1.03,2,1,1,249671
1998,3948.484396546705,4,3.0,1.29,1,0,0,606622
2000,1928.9566724309875,6,2.0,1.17,0,0,1,301893
1983,3273.2357358606164,5,1.5,1.2,0,0,0,401485
1991,2770.867970109264,5,1.5,0.97,0,1,1,362680
1993,3916.2330150824237,3,1.5,1.08,1,0,1,541134
2003,3957.290256570518,3,3.0,1.14,0,1,1,605693
1994,3925.7406962761934,3,1.0,0.78,3,0,0,565561
1992,3688.9768430911176,3,1.5,0.71,2,0,0,511496
1981,2532.114730744762,5,2.5,0.78,1,1,1,304017
1985,3148.2915437585516,5,3.0,1.23,0,0,1,415693
2003,5082.938544256054,5,2.5,1.02,1,1,1,800240
1986,3553.4320235892333,3,3.0,0.83,1,0,0,470464
1980,2887.6381340948074,4,1.0,1.07,3,1,1,354195
1971,3051.8575946617307,3,3.0,0.92,0,0,0,306578
1992,3329.241578941032,4,2.5,0.5,0,1,0,449386
1986,3712.487013410336,2,2.0,0.67,3,1,1,496923
1987,3011.109518802393,2,1.0,0.75,0,1,1,337916
1988,2804.3778589423127,2,1.5,0.93,1,1,0,337106
2000,4603.408575484034,5,1.0,0.98,0,0,1,675211
2011,3554.0069725454623,5,3.0,0.92,3,0,1,646901
1997,2206.7640050171744,5,3.0,1.01,1,0,0,346164
2005,2835.6073059718406,2,1.0,1.13,2,0,1,437291
2008,2894.889778181552,2,3.0,0.92,0,1,0,458033
1997,1546.5630948229466,2,2.5,1.14,0,0,0,196584
1993,3404.542053833485,3,2.5,1.08,3,1,0,509381
2007,3793.2748271998134,4,2.5,0.75,1,1,1,612741
1986,1858.3225714450616,6,2.5,1.2,1,0,1,244248
2002,2218.517078925603,6,2.0,1.46,0,1,1,359677
1993,2844.667270695111,4,1.5,1.32,1,1,1,394000
2009,2924.431245471419,3,1.5,0.95,2,1,0,485414
1991,4354.081325373987,3,1.5,1.23,1,0,0,599062
1982,2914.37537751575,4,1.5,0.48,3,0,0,366856
1981,1731.3212140043493,4,3.0,1.2,3,0,0,217698
1985,3971.380640670334,2,1.5,1.27,2,1,0,517257
1993,1876.68495596283,3,2.0,1.3,0,0,0,231002
1981,2816.0776201806643,6,3.0,1.05,1,0,1,368161
1983,2201.406716298621,5,1.0,1.12,3,1,0,277011
2001,2378.3276507264686,5,3.0,0.97,1,0,1,391299
2002,2247.068986740497,3,1.0,0.65,0,1,0,306810
1996,2431.19059831355,6,2.0,1.31,3,1,1,404328
2002,1935.8266368953293,5,1.0,1.12,3,0,0,332173
2012,3247.7823957747314,6,1.5,0.89,2,1,0,578017
2009,3310.027106910604,4,3.0,0.98,3,1,0,591204
1996,4278.064945947939,3,3.0,0.66,3,0,0,656609
2011,3532.8568017457064,4,2.0,0.79,0,1,1,571778
1999,3633.3469656949787,3,1.0,1.14,1,1,1,522102
1990,2818.1860592003227,2,3.0,0.54,2,1,0,380827
1989,1654.7868773608645,2,1.0,1.45,3,1,0,199968
1987,3291.9146180970165,4,2.0,1.31,3,0,1,468437
1994,2001.8724424926363,2,2.0,0.83,1,0,1,252730
1996,4534.117648792475,4,2.0,0.88,1,0,0,663317
1991,3611.42668123749,4,1.0,0.78,2,0,1,498414
1992,3364.916607332417,2,1.5,1.12,1,1,0,444037
1998,4481.160238459501,3,1.5,1.17,1,1,1,652224
1989,2795.1685575610177,5,2.0,1.0,1,0,1,379275
1996,3569.110468463338,5,2.0,0.84,0,1,0,512966
1995,3935.495966234183,6,1.0,1.25,2,1,0,594074
2005,3315.863553607071,5,1.5,1.43,2,0,0,551329
2001,3949.4940153871603,3,1.0,1.46,3,1,1,614324
2004,2751.27040712667,5,2.0,0.82,3,1,0,474990
1991,3021.3889179033704,6,2.5,0.87,1,1,1,438758
2014,2292.8104280427096,2,3.0,1.28,1,1,1,418121
1970,2221.602804839227,3,2.5,1.4,1,1,1,191740
1975,3602.462570290845,2,2.5,0.95,0,0,1,392119
1988,2876.4666169900433,6,1.5,1.17,0,1,1,376519
1994,3445.9475076567464,3,1.0,0.77,1,1,1,463442
1990,2089.3784103717703,2,1.5,1.38,0,0,0,231606
1987,3151.8380947919236,5,2.0,1.16,1,0,1,425175
1988,3048.06863860916,2,3.0,0.51,1,0,0,389860
2003,2726.681857887901,4,1.0,0.78,0,0,1,395702
1993,1506.0982066902855,6,1.5,0.98,2,1,0,223114
1986,2867.332719335159,6,3.0,1.15,2,1,0,417349
1991,2494.1695099369495,5,1.0,1.16,1,1,1,331525
1999,3612.2955449116293,2,2.0,1.24,1,0,1,525444
1991,2866.4514898814987,6,1.0,0.79,1,0,1,391817
1996,3490.285900807566,3,1.5,0.65,1,1,1,485792
1994,1527.3890010838306,4,2.0,1.09,1,1,0,205458
1998,2775.279666936379,3,2.5,1.13,1,1,0,410741
1995,3056.563622842992,3,3.0,1.12,2,0,0,460284
2011,3242.5659539114554,3,1.0,1.19,2,1,1,539234
2000,2814.977546382882,6,2.5,0.74,3,0,1,480846
1996,3312.301410916006,2,1.0,1.19,3,0,0,479695
